File generated on 03-Jul-2017 10:45:04, Level:3, Processing Version: 1.0, Amount of data removed from level 1: 9.3%, Site: Diadema-2016, Instrument: SMPS_TSI, Model:3082," S/N: 3082001629001 - Sizing quantitative, Concentration qualitative", Data processing details can be found in ftp://ftp.lfa.if.usp.br/LFA_Processed_Data/DataProcessing_GoAmazon_LFA.pdf
Time(UTC), UnixTime(UTC),Number concentration (cm-3),Total volume (um3.cm-3), Mean geometric diameter Dpg (nm),,,,
11/22/2016 10:00,1479808800, NaN, NaN, NaN,,,,
11/22/2016 10:05,1479809100, NaN, NaN, NaN,,,,
11/22/2016 10:10,1479809400, NaN, NaN, NaN,,,,
11/22/2016 10:15,1479809700, NaN, NaN, NaN,,,,
11/22/2016 10:20,1479810000, NaN, NaN, NaN,,,,
11/22/2016 10:25,1479810300, NaN, NaN, NaN,,,,
11/22/2016 10:30,1479810600, NaN, NaN, NaN,,,,
11/22/2016 10:35,1479810900, NaN, NaN, NaN,,,,
11/22/2016 10:40,1479811200, NaN, NaN, NaN,,,,
11/22/2016 10:45,1479811500, NaN, NaN, NaN,,,,
11/22/2016 10:50,1479811800, NaN, NaN, NaN,,,,
11/22/2016 10:55,1479812100, NaN, NaN, NaN,,,,
11/22/2016 11:00,1479812400, NaN, NaN, NaN,,,,
11/22/2016 11:05,1479812700, NaN, NaN, NaN,,,,
11/22/2016 11:10,1479813000, NaN, NaN, NaN,,,,
11/22/2016 11:15,1479813300, NaN, NaN, NaN,,,,
11/22/2016 11:20,1479813600, NaN, NaN, NaN,,,,
11/22/2016 11:25,1479813900, NaN, NaN, NaN,,,,
11/22/2016 11:30,1479814200, NaN, NaN, NaN,,,,
11/22/2016 11:35,1479814500, NaN, NaN, NaN,,,,
11/22/2016 11:40,1479814800, NaN, NaN, NaN,,,,
11/22/2016 11:45,1479815100, NaN, NaN, NaN,,,,
11/22/2016 11:50,1479815400, NaN, NaN, NaN,,,,
11/22/2016 11:55,1479815700, NaN, NaN, NaN,,,,
11/22/2016 12:00,1479816000, NaN, NaN, NaN,,,,
11/22/2016 12:05,1479816300, NaN, NaN, NaN,,,,
11/22/2016 12:10,1479816600, NaN, NaN, NaN,,,,
11/22/2016 12:15,1479816900, NaN, NaN, NaN,,,,
11/22/2016 12:20,1479817200, NaN, NaN, NaN,,,,
11/22/2016 12:25,1479817500, NaN, NaN, NaN,,,,
11/22/2016 12:30,1479817800, NaN, NaN, NaN,,,,
11/22/2016 12:35,1479818100, NaN, NaN, NaN,,,,
11/22/2016 12:40,1479818400, NaN, NaN, NaN,,,,
11/22/2016 12:45,1479818700, NaN, NaN, NaN,,,,
11/22/2016 12:50,1479819000, NaN, NaN, NaN,,,,
11/22/2016 12:55,1479819300, NaN, NaN, NaN,,,,
11/22/2016 13:00,1479819600, NaN, NaN, NaN,,,,
11/22/2016 13:05,1479819900, NaN, NaN, NaN,,,,
11/22/2016 13:10,1479820200, NaN, NaN, NaN,,,,
