Time(UTC) - 3,index, UnixTime(UTC),Real,Imaginária
2017-02-18 02:00:00,4234.0,1487394000.0,1.4717973507384372,0.028970260657026178
2017-02-18 02:30:00,4235.0,1487395800.0,1.4719334064905247,0.02759011455830461
2017-02-18 03:00:00,4236.0,1487397600.0,1.4744733946290907,0.023945356717317862
2017-02-18 03:30:00,4237.0,1487399400.0,1.4522579157600217,0.022816838564714413
2017-02-18 04:00:00,4238.0,1487401200.0,1.446940870702495,0.022284374013731102
2017-02-18 04:30:00,4239.0,1487403000.0,1.4479210836112058,0.029930359489779297
2017-02-18 05:00:00,4240.0,1487404800.0,1.4736220604445458,0.029740752209684303
2017-02-18 05:30:00,4241.0,1487406600.0,1.4568844344077705,0.027227100621073985
2017-02-18 06:00:00,4242.0,1487408400.0,1.4598803686712296,0.02638588438742915
2017-02-18 06:30:00,4243.0,1487410200.0,1.443937087772411,0.03278932442334158
2017-02-18 08:30:00,4247.0,1487417400.0,1.5372191737817804,0.027542051821046118
2017-02-18 09:00:00,4248.0,1487419200.0,1.5484358220254162,0.027399467908543147
2017-02-18 09:30:00,4249.0,1487421000.0,1.50859378965358,0.028280855491935503
2017-02-18 10:00:00,4250.0,1487422800.0,1.5499008579796683,0.021182489176615527
2017-02-18 10:30:00,4251.0,1487424600.0,1.483644539060985,0.02012459117003736
2017-02-18 11:00:00,4252.0,1487426400.0,1.5233761447960381,0.0237743900659941
2017-02-18 11:30:00,4253.0,1487428200.0,1.5296628914475283,0.03207559628960284
2017-02-18 12:00:00,4254.0,1487430000.0,1.482442466905852,0.017431468151337684
2017-02-18 12:30:00,4255.0,1487431800.0,1.4715616506969054,0.022720430127093027
2017-02-18 13:00:00,4256.0,1487433600.0,1.4669030024284477,0.017776904008809987
2017-02-18 13:30:00,4257.0,1487435400.0,1.5100296778358668,0.025113385645390857
2017-02-18 14:00:00,4258.0,1487437200.0,1.52608808368403,0.010169003157868083
2017-02-18 14:30:00,4259.0,1487439000.0,1.5367889100490402,0.01953313166470639
2017-02-18 15:00:00,4260.0,1487440800.0,1.526370121361666,0.015776227760273823
2017-02-18 15:30:00,4261.0,1487442600.0,1.5355079438791681,0.02593036292321086
2017-02-18 16:00:00,4262.0,1487444400.0,1.5514153170797804,0.046104880402807163
2017-02-18 16:30:00,4263.0,1487446200.0,1.5381405065555167,0.02803799693744452
2017-02-18 17:00:00,4264.0,1487448000.0,1.505238023408199,0.012775455118438578
2017-02-18 17:30:00,4265.0,1487449800.0,1.5221265989448352,0.010751147970698257
2017-02-18 18:00:00,4266.0,1487451600.0,1.5083162175178386,0.017081815122358793
2017-02-18 18:30:00,4267.0,1487453400.0,1.5101678741026912,0.055141748926664055
2017-02-18 19:00:00,4268.0,1487455200.0,1.5007830942905591,0.017467152128317613
2017-02-18 19:30:00,4269.0,1487457000.0,1.5237283886053763,0.017382622604343118
2017-02-18 20:00:00,4270.0,1487458800.0,1.4750422735436324,0.019594037535177865
2017-02-18 20:30:00,4271.0,1487460600.0,1.5103385088614791,0.021912102977520578
2017-02-18 21:00:00,4272.0,1487462400.0,1.507644636430292,0.02102441015613743
2017-02-18 21:30:00,4273.0,1487464200.0,1.4840693055843193,0.022498160628598912
2017-02-18 22:00:00,4274.0,1487466000.0,1.47944864589888,0.026485930133726014
2017-02-18 22:30:00,4275.0,1487467800.0,1.5387276602581075,0.02323255627313079
2017-02-18 23:00:00,4276.0,1487469600.0,1.5164994062093275,0.025431936728168025
2017-02-18 23:30:00,4277.0,1487471400.0,1.5289918915590237,0.024860857287151025
2017-02-19 00:00:00,4278.0,1487473200.0,1.5048819549994834,0.017644072093905578
2017-02-19 00:30:00,4279.0,1487475000.0,1.5110230839759289,0.015544631138379257
2017-02-19 01:00:00,4280.0,1487476800.0,1.5184933243439789,0.017410055111104647
2017-02-19 01:30:00,4281.0,1487478600.0,1.4995819288059336,0.020648013612436088
2017-02-19 02:00:00,4282.0,1487480400.0,1.501439397243043,0.018056757558348718
2017-02-19 02:30:00,4283.0,1487482200.0,1.5433078450174356,0.01860607494731934
2017-02-19 03:00:00,4284.0,1487484000.0,1.519790925156312,0.022783496443792236
2017-02-19 03:30:00,4285.0,1487485800.0,1.5047438942579425,0.020844384981696246
2017-02-19 04:00:00,4286.0,1487487600.0,1.5062538505690772,0.019568286740948158
2017-02-19 04:30:00,4287.0,1487489400.0,1.521814311338037,0.019074609708136882
2017-02-19 05:00:00,4288.0,1487491200.0,1.4995791285880058,0.017407678303063105
2017-02-19 05:30:00,4289.0,1487493000.0,1.4917116003230406,0.017976472851689206
2017-02-19 06:00:00,4290.0,1487494800.0,1.513486711463434,0.025243953165635127
2017-02-19 10:00:00,4298.0,1487509200.0,1.5874928228856617,0.01263568343642994
2017-02-19 10:30:00,4299.0,1487511000.0,1.5724290704878774,0.014541219205973203
2017-02-19 11:00:00,4300.0,1487512800.0,1.5462112446057714,0.013574019498345115
